url,europeana_issue_id,datestamp,date,publisher,spatial_distribution,spatial_origin,languages
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010223701:mpeg21:a0002,/9200359/BibliographicResource_3000112924940,2021-01-07T03:14:55.288Z,1916-03-25,A. Arts,Regionaal/lokaal,Tilburg,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110578833:mpeg21:a0009,/9200359/BibliographicResource_3000115906892,2021-01-06T11:21:44.626Z,1940-08-02,Dagblad De Telegraaf,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010019254:mpeg21:a0111,/9200359/BibliographicResource_3000112887532,2021-01-07T02:45:25.252Z,1940-09-14,M. Nĳhoff [etc.],Landelijk,s-Gravenhage,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110634395:mpeg21:a0038,/9200359/BibliographicResource_3000115939157,2021-01-06T12:46:16.137Z,1925-10-23,W. Kraan,Suriname,Paramaribo,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010166957:mpeg21:a0107,/9200359/BibliographicResource_3000115965367,2021-01-06T13:42:53.507Z,1894-06-07,A.W. Sĳthoff,Regionaal/lokaal,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010872488:mpeg21:a0133,/9200359/BibliographicResource_3000112915503,2021-01-06T23:46:17.876Z,1924-07-04,J.B. de Mesquita,Landelijk,Amsterdam,"nl, he"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010994201:mpeg21:a0161,/9200359/BibliographicResource_3000115563404,2021-01-05T19:57:16.695Z,1895-11-11,A.W. Sĳthoff,Regionaal/lokaal,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011180637:mpeg21:a0053,/9200359/BibliographicResource_3000115617424,2021-01-06T15:46:11.957Z,1910-09-14,The Heyrman Pub. Co,Verenigde Staten,"De Pere, Brown, Wisconsin","nl, en"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110546404:mpeg21:a0146,/9200359/BibliographicResource_3000115848406,2021-01-06T07:56:37.655Z,1912-01-26,Dagblad De Telegraaf,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010693894:mpeg21:a0058,/9200359/BibliographicResource_3000112838798,2021-01-07T08:43:59.879Z,1940-09-02,Haan & Co,Regionaal/lokaal,Delfzĳl,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010279852:mpeg21:a0002,/9200359/BibliographicResource_3000112940654,2021-01-06T22:55:43.915Z,1905-11-25,NV Paulus Drukkerĳ,Nederlandse Antillen,[Willemstad,"nl, es"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010032304:mpeg21:a0054,/9200359/BibliographicResource_3000112889286,2021-01-06T23:22:26.028Z,1912-07-21,Nĳgh,Landelijk,Rotterdam,nl
