anonymised_participant_id,time_taken,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
31,2614.086,27,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English, Portuguese",Netherlands,Male,DATA EXPIRED
29,581.496,29,Albania,Belgium,Part-Time,DATA EXPIRED,"English, Dutch, Albanian, French",Belgium,Male,Yes
44,540.81,19,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
43,1668.509,21,Netherlands,Netherlands,Other,Indonesian,"English, Dutch",Netherlands,Male,Yes
42,1264.778,21,Belgium,Belgium,Other,Dutch,"Dutch, English, French",Belgium,Male,Yes
39,4830.79,23,Netherlands,United Kingdom,DATA EXPIRED,Dutch,"English, Dutch",United Kingdom,Male,DATA EXPIRED
41,692.631,29,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, Spanish",Netherlands,Male,No
38,851.887,19,Belgium,Belgium,Unemployed (and job seeking),Dutch,"English, Dutch",Belgium,Male,No
37,1070.47,20,Belgium,Belgium,Other,Dutch,"Dutch, English",Belgium,Female,Yes
52,1477.374,37,Belgium,Belgium,Other,French,"Dutch, English, French",Belgium,Male,No
51,1980.888,40,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French",Belgium,Male,No
48,2520.217,21,Sint Maarten (Dutch part),Netherlands,Other,English,"English, Dutch, Spanish",Sint Maarten (Dutch part),Female,Yes
49,1016.576,53,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch, German",Netherlands,Male,No
46,4687.212,34,Korea,Belgium,Unemployed (and job seeking),Korean,"Korean, English, Dutch",Korea,Female,No
45,855.359,27,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
60,455.809,26,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Female,No
57,946.512,37,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
58,1004.63,33,Belgium,United Kingdom,Full-Time,Dutch,"Dutch, English",Belgium,Male,No
56,1220.839,39,Netherlands,Netherlands,Full-Time,Dutch,Dutch,Netherlands,Female,DATA EXPIRED
55,1308.639,22,Belgium,Belgium,Full-Time,Dutch,Dutch,Belgium,Female,No
66,1982.425,36,Hong Kong,Belgium,"Not in paid work (e.g. homemaker', 'retired or disabled)",Cantonese,"Dutch, English, French, Cantonese",Belgium,Female,No
65,507.541,24,Belgium,Belgium,DATA EXPIRED,Dutch,"French, Dutch, English",Belgium,Male,DATA EXPIRED
67,616.929,23,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Female,DATA EXPIRED
63,518.608,31,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English",Belgium,Male,DATA EXPIRED
64,621.22,25,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French, German",Belgium,Male,No
62,1349.31,42,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
61,1926.529,21,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,No
76,2223.759,21,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,No
75,946.42,19,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
74,561.738,26,Netherlands,Netherlands,Other,Dutch,"Dutch, English",Netherlands,Male,Yes
73,1235.637,18,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Arabic, English, Dutch",Netherlands,Male,Yes
